// sample				nEvt	L(/pb)	filt  collection		  comment
DoubleEle_A_190456_208686	1	1.	1.    dz			  de
DoubleEle_B_190456_208686	1	1.	1.    dz			  de
DoubleEle_C_190456_208686	1	1.	1.    dz			  de
DoubleEle_D_190456_208686	1	1.	1.    dz			  de
DoubleMu_A_190456_208686	1	1.	1.    dz			  de
DoubleMu_B_190456_208686	1	1.	1.    dz			  de
DoubleMu_C_190456_208686	1	1.	1.    dz			  de
DoubleMu_D_190456_208686	1	1.	1.    dz			  de
EleMu_A_190456_208686	1	1.	1.    dz			  de
EleMu_B_190456_208686	1	1.	1.    dz			  de
EleMu_C_190456_208686	1	1.	1.    dz			  de
EleMu_D_190456_208686	1	1.	1.    dz			  de
TTbarJets	1	1.	1.    dz			  de
T_schan	1	1.	1.    dz			  de
T_tWchan	1	1.	1.    dz			  de
T_tchan	1	1.	1.    dz			  de
Tbar_schan	1	1.	1.    dz			  de
Tbar_tWchan	1	1.	1.    dz			  de
Tbar_tchan	1	1.	1.    dz			  de
WGamma	1	1.	1.    dz			  de
WW	1	1.	1.    dz			  de
WZ	1	1.	1.    dz			  de
ZGamma	1	1.	1.    dz			  de
ZJets_2l	1	1.	1.    dz			  de
ZZ	1	1.	1.    dz			  de

test					1	1.	1.    dz			  de
data2011A/DoubleElectron_160431_163385  846822 102.42 0.155 Run2011A-16Jan2012-v1/AOD data 
data2011A/DoubleElectron_163386_165121  787832 102.04 0.192 Run2011A-16Jan2012-v1/AOD data 
data2011A/DoubleElectron_165122_165567  530458 104.62 0.202 Run2011A-16Jan2012-v1/AOD data
data2011A/DoubleElectron_165568_166033  513518 101.97 0.207 Run2011A-16Jan2012-v1/AOD data 
data2011A/DoubleElectron_166034_166429  508980 101.06 0.208 Run2011A-16Jan2012-v1/AOD data 
data2011A/DoubleElectron_166430_166563  522803 104.19 0.212 Run2011A-16Jan2012-v1/AOD data 
data2011A/DoubleElectron_166564_166841  587379 116.61 0.211 Run2011A-16Jan2012-v1/AOD data 
data2011A/DoubleElectron_166842_166950  613136 122.98 0.212 Run2011A-16Jan2012-v1/AOD data 
data2011A/DoubleElectron_166951_167284  476781 101.48 0.204 Run2011A-16Jan2012-v1/AOD data 
data2011A/DoubleElectron_167285_167807  498499 108.50 0.209 Run2011A-16Jan2012-v1/AOD data 
data2011A/DoubleElectron_167808_170876  449293 101.09 0.206 Run2011A-16Jan2012-v1/AOD data 
data2011A/DoubleElectron_170877_171446  322072 102.29 0.236 Run2011A-16Jan2012-v1/AOD data 
data2011A/DoubleElectron_171447_172163  286496 111.53 0.252 Run2011A-16Jan2012-v1/AOD data 
data2011A/DoubleElectron_172164_172630  264669 102.19 0.257 Run2011A-16Jan2012-v1/AOD data 
data2011A/DoubleElectron_172631_172802  364331 110.26 0.248 Run2011A-16Jan2012-v1/AOD data 
data2011A/DoubleElectron_172803_172868  467245 153.52 0.253 Run2011A-16Jan2012-v1/AOD data 
data2011A/DoubleElectron_172869_172999  321299 105.34 0.253 Run2011A-16Jan2012-v1/AOD data 
data2011A/DoubleElectron_173000_173389  231369 109.44 0.287 Run2011A-16Jan2012-v1/AOD data 
data2011A/DoubleElectron_173390_173692  335678 165.91 0.291 Run2011A-16Jan2012-v1/AOD data 
data2011B/DoubleElectron_175860_175975  206746 108.98 0.291 Run2011B-16Jan2012-v1/AOD data 
data2011B/DoubleElectron_175976_176286  207638 119.84 0.322 Run2011B-16Jan2012-v1/AOD data 
data2011B/DoubleElectron_176287_176309  202290 108.68 0.294 Run2011B-16Jan2012-v1/AOD data 
data2011B/DoubleElectron_176310_176697  183645 102.42 0.310 Run2011B-16Jan2012-v1/AOD data 
